timesteps,ep_return,ep_len
1501,-10840.025453,1501
3002,-18665.191136,1501
4503,-9403.445933,1501
6004,-8518.895953,1501
7505,-5105.75525,1501
9006,-14900.81321,1501
10507,-11380.145355,1501
12008,-7941.035034,1501
13509,-5288.707076,1501
15010,-10590.319133,1501
16511,-7186.509906,1501
18012,-5041.232056,1501
19513,-7569.382904,1501
21014,-6440.155771,1501
22515,-5282.506447,1501
24016,-5795.343405,1501
25517,-5492.699452,1501
27018,-7027.617114,1501
28519,-6482.797649,1501
30020,-24577.068984,1501
31521,-6848.740896,1501
33022,-6675.243496,1501
34523,-5580.230883,1501
36024,-6730.691635,1501
37525,-9570.876089,1501
39026,-8106.030453,1501
40527,-12426.508685,1501
42028,-8121.555465,1501
43529,-4778.703699,1501
45030,-32631.349188,1501
46531,-7331.915795,1501
48032,-7392.225884,1501
49533,-5928.30914,1501
51034,-6030.867066,1501
52535,-11350.672558,1501
54036,-4550.623206,1501
55537,-4481.791999,1501
57038,-5059.364169,1501
58539,-4807.69024,1501
60040,-7930.770532,1501
61541,-5710.549347,1501
63042,-5088.637676,1501
64543,-4906.855477,1501
66044,-4725.937313,1501
67545,-6134.62266,1501
69046,-5718.498369,1501
70547,-8423.293568,1501
72048,-6175.325764,1501
73549,-4659.832378,1501
75050,-6902.277965,1501
76551,-5373.159313,1501
78052,-5364.487636,1501
79553,-4688.912158,1501
81054,-4795.257698,1501
82555,-6563.216576,1501
84056,-7883.913473,1501
85557,-6345.803522,1501
87058,-5007.655285,1501
88559,-19510.490185,1501
90060,-16436.496167,1501
91561,-7535.20563,1501
93062,-7249.048661,1501
94563,-9592.336286,1501
96064,-6891.198331,1501
97565,-12683.581325,1501
99066,-4921.911996,1501
100567,-5188.018486,1501
102068,-6205.023732,1501
103569,-5344.385695,1501
105070,-7208.762008,1501
106571,-7258.64673,1501
108072,-8477.210576,1501
109573,-5573.213877,1501
111074,-8650.282388,1501
112575,-5372.97746,1501
114076,-11499.254598,1501
115577,-10069.55236,1501
117078,-7481.899134,1501
118579,-12600.965461,1501
118939,-1642.454133,360
120440,-5977.933921,1501
121941,-5156.685491,1501
123442,-5334.682855,1501
124943,-4728.48706,1501
126444,-5273.504998,1501
127945,-6040.710571,1501
129446,-6436.204576,1501
130947,-5383.09164,1501
132448,-4496.909956,1501
133949,-5807.333747,1501
135450,-5803.4381,1501
136951,-7663.388319,1501
137834,-2422.670676,883
139335,-6213.835614,1501
140836,-4700.936844,1501
142337,-5824.951623,1501
142875,-1857.347311,538
144376,-7541.146263,1501
145877,-5611.290197,1501
146819,-4392.412403,942
148320,-7981.65518,1501
149821,-7780.353342,1501
151322,-5932.61439,1501
152823,-14205.270065,1501
154324,-5386.071689,1501
155825,-5013.07142,1501
157326,-5258.592216,1501
158827,-5702.61012,1501
160328,-8165.334894,1501
161829,-7540.583556,1501
163330,-10206.874622,1501
164831,-8761.70478,1501
166332,-7030.292842,1501
167833,-5393.572809,1501
169334,-8579.904467,1501
170835,-8547.993359,1501
172336,-5130.797484,1501
173837,-4711.818327,1501
175338,-4641.516185,1501
176839,-4718.021775,1501
178340,-4589.334883,1501
179841,-8526.988063,1501
181342,-7790.786777,1501
182843,-6588.433375,1501
184344,-5146.055511,1501
185845,-7108.615708,1501
187346,-6454.409679,1501
188847,-4767.11901,1501
190348,-21888.74581,1501
191849,-9329.442086,1501
193350,-13630.620474,1501
194851,-23668.938603,1501
196352,-4855.028252,1501
197853,-6976.254216,1501
199354,-15114.652051,1501
200855,-8593.785165,1501
202356,-5724.344597,1501
203857,-6596.29953,1501
205358,-5980.283237,1501
206859,-11029.521379,1501
208360,-5857.999658,1501
209861,-10302.784749,1501
211362,-7525.413398,1501
212863,-6177.495878,1501
214364,-5128.507278,1501
215865,-5791.021206,1501
217366,-5069.722413,1501
218867,-4812.961891,1501
220368,-8707.170219,1501
221869,-7031.041306,1501
223370,-10137.994929,1501
224871,-7901.398901,1501
226372,-7601.479135,1501
227873,-6521.586616,1501
229374,-7888.479106,1501
230875,-6668.163965,1501
232376,-9074.461011,1501
233877,-10528.085748,1501
235378,-13203.801205,1501
236879,-10085.321452,1501
238380,-8076.19132,1501
239881,-12580.668888,1501
241382,-5006.520014,1501
242883,-6617.895416,1501
244384,-8943.386711,1501
245885,-14074.294226,1501
247386,-25730.455101,1501
248887,-5446.242457,1501
250388,-7371.276308,1501
251889,-7946.371149,1501
253390,-5746.292955,1501
254891,-4743.122037,1501
256392,-19957.876867,1501
257893,-7641.241274,1501
259394,-4714.3126,1501
260895,-15573.6345,1501
262396,-6628.778056,1501
263897,-7848.516761,1501
265398,-4640.561156,1501
266899,-9311.62754,1501
268400,-9550.617449,1501
269901,-8369.25832,1501
271402,-17985.538061,1501
272903,-11557.386238,1501
274404,-15856.552151,1501
275905,-5767.343956,1501
277406,-5303.855594,1501
278907,-7398.377082,1501
280408,-8675.882692,1501
281909,-5121.807957,1501
283410,-12655.78494,1501
284777,-9110.398194,1367
286278,-6568.967879,1501
287779,-5978.806132,1501
