target_idx,x_ref,y_ref,Kp_star,Kth_star,E_star,C_l_bf,is_workspace
0,-0.058779,-0.080902,0.742857,0.959184,1097.0193,0.012770,1
1,-0.038650,-0.092229,1.000000,1.214286,900.4797,0.011098,1
2,-0.016459,-0.098636,1.000000,1.367347,855.4625,0.012292,1
3,0.006609,-0.099781,0.706122,3.000000,849.5240,0.016231,1
4,0.029325,-0.095604,0.706122,3.000000,773.7180,0.018147,1
5,0.050477,-0.086326,0.687755,3.000000,744.0558,0.017387,1
6,0.068935,-0.072443,0.687755,3.000000,729.0113,0.014872,1
7,0.083717,-0.054695,0.669388,3.000000,720.0087,0.011274,1
8,0.094032,-0.034029,0.669388,3.000000,717.0951,0.006982,1
9,0.099331,-0.011548,0.706122,3.000000,710.9455,0.002352,1
10,0.099331,0.011548,0.706122,3.000000,710.9455,0.002352,1
11,0.094032,0.034029,0.669388,3.000000,717.0951,0.006982,1
12,0.083717,0.054695,0.669388,3.000000,720.0087,0.011274,1
13,0.068935,0.072443,0.687755,3.000000,729.0113,0.014872,1
14,0.050477,0.086326,0.687755,3.000000,744.0558,0.017387,1
15,0.029325,0.095604,0.706122,3.000000,773.7180,0.018147,1
16,0.006609,0.099781,0.706122,3.000000,849.5240,0.016231,1
17,-0.016459,0.098636,1.000000,1.367347,855.4625,0.012292,1
18,-0.038650,0.092229,1.000000,1.214286,900.4797,0.011098,1
19,-0.058779,0.080902,0.742857,0.959184,1097.0193,0.012770,1
20,-0.117557,-0.161803,0.797959,0.959184,1151.6280,0.024319,1
21,-0.077300,-0.184458,1.000000,1.112245,973.2258,0.021375,1
22,-0.032919,-0.197272,1.000000,1.214286,944.2655,0.023564,1
23,0.013218,-0.199563,0.834694,2.897959,818.1693,0.030577,1
24,0.058650,-0.191207,0.834694,2.948980,749.4235,0.033798,1
25,0.100953,-0.172651,0.816327,3.000000,724.6649,0.032171,1
26,0.137871,-0.144885,0.797959,3.000000,708.6681,0.027515,1
27,0.167433,-0.109390,0.779592,3.000000,698.8306,0.021130,1
28,0.188064,-0.068059,0.779592,3.000000,693.3505,0.013426,1
29,0.198662,-0.023097,0.797959,3.000000,683.9947,0.004604,1
30,0.198662,0.023097,0.797959,3.000000,683.9947,0.004604,1
31,0.188064,0.068059,0.779592,3.000000,693.3505,0.013426,1
32,0.167433,0.109390,0.779592,3.000000,698.8306,0.021130,1
33,0.137871,0.144885,0.797959,3.000000,708.6681,0.027515,1
34,0.100953,0.172651,0.816327,3.000000,724.6649,0.032171,1
35,0.058650,0.191207,0.834694,2.948980,749.4235,0.033798,1
36,0.013218,0.199563,0.834694,2.897959,818.1693,0.030577,1
37,-0.032919,0.197272,1.000000,1.214286,944.2655,0.023564,1
38,-0.077300,0.184458,1.000000,1.112245,973.2258,0.021375,1
39,-0.117557,0.161803,0.797959,0.959184,1151.6280,0.024319,1
40,-0.176336,-0.242705,0.853061,0.908163,1154.6363,0.035265,1
41,-0.115950,-0.276687,1.000000,1.061224,984.1662,0.031058,1
42,-0.049378,-0.295908,0.871429,2.744898,944.2544,0.034112,1
43,0.019827,-0.299344,0.926531,2.948980,775.9803,0.043942,1
44,0.087975,-0.286811,0.908163,3.000000,710.1612,0.048289,1
45,0.151430,-0.258977,0.871429,2.948980,685.3091,0.045739,1
46,0.206806,-0.217328,0.853061,3.000000,671.8514,0.038961,1
47,0.251150,-0.164084,0.834694,3.000000,660.8710,0.030011,1
48,0.282096,-0.102088,0.816327,3.000000,645.3576,0.019446,1
49,0.297993,-0.034645,0.834694,3.000000,635.3502,0.006773,1
50,0.297993,0.034645,0.834694,3.000000,635.3502,0.006773,1
51,0.282096,0.102088,0.816327,3.000000,645.3576,0.019446,1
52,0.251150,0.164084,0.834694,3.000000,660.8710,0.030011,1
53,0.206806,0.217328,0.853061,3.000000,671.8514,0.038961,1
54,0.151430,0.258977,0.871429,2.948980,685.3091,0.045739,1
55,0.087975,0.286811,0.908163,3.000000,710.1612,0.048289,1
56,0.019827,0.299344,0.926531,2.948980,775.9803,0.043942,1
57,-0.049378,0.295908,0.871429,2.744898,944.2544,0.034112,1
58,-0.115950,0.276687,1.000000,1.061224,984.1662,0.031058,1
59,-0.176336,0.242705,0.853061,0.908163,1154.6363,0.035265,1
60,-0.235114,-0.323607,0.889796,0.908163,1135.2684,0.045750,1
61,-0.154600,-0.368916,1.000000,1.010204,969.6056,0.040282,1
62,-0.065838,-0.394545,0.889796,2.642857,890.5396,0.044126,1
63,0.026436,-0.399125,0.944898,2.846939,729.1523,0.056576,1
64,0.117300,-0.382414,0.944898,2.948980,662.8642,0.061931,1
65,0.201906,-0.345303,0.908163,2.948980,639.2869,0.058407,1
66,0.275741,-0.289770,0.889796,3.000000,624.3417,0.049484,1
67,0.334867,-0.218779,0.871429,3.000000,620.7983,0.038049,1
68,0.376128,-0.136117,0.853061,3.000000,596.4622,0.025121,1
69,0.397324,-0.046194,0.853061,3.000000,578.4207,0.008902,1
70,0.397324,0.046194,0.853061,3.000000,578.4207,0.008902,1
71,0.376128,0.136117,0.853061,3.000000,596.4622,0.025121,1
72,0.334867,0.218779,0.871429,3.000000,620.7983,0.038049,1
73,0.275741,0.289770,0.889796,3.000000,624.3417,0.049484,1
74,0.201906,0.345303,0.908163,2.948980,639.2869,0.058407,1
75,0.117300,0.382414,0.944898,2.948980,662.8642,0.061931,1
76,0.026436,0.399125,0.944898,2.846939,729.1523,0.056576,1
77,-0.065838,0.394545,0.889796,2.642857,890.5396,0.044126,1
