method,seed,rollouts_per_target,median_E_ratio,p25_E_ratio,p75_E_ratio,frac_within_2pct
bf,0,1,1.9074365234525918,1.364056163404599,2.8520400180327634,0.0
bf,0,2,1.4597667103588994,1.2234341903298402,2.0417857362628844,0.01
bf,0,3,1.305659725473279,1.1641759980939859,1.748317634777389,0.015
bf,0,4,1.2488654738060299,1.1448823748556374,1.5279495481782097,0.015
bf,0,5,1.2043593263842856,1.1194382922900152,1.4071664856554849,0.02
bf,0,6,1.1811769604714186,1.113372792906984,1.3551362035838737,0.02
bf,0,7,1.1640469671263456,1.0947205049970252,1.3020332683247389,0.025
bf,0,9,1.1494559049991997,1.077897643570856,1.252023875875388,0.04
bf,0,11,1.1312879460525944,1.067142993719588,1.2069615803227405,0.05
bf,0,14,1.114217476548174,1.059103581003183,1.1880392733418195,0.05
bf,0,17,1.0991758917125425,1.0565443397110905,1.1697250861021788,0.06
bf,0,20,1.0947642843438365,1.0517661569818244,1.1547448344526492,0.07
bf,0,25,1.0873891095641444,1.0408585642700898,1.143257069356341,0.075
bf,0,30,1.082810415071738,1.0376318248269611,1.130696125785082,0.105
bf,0,37,1.0695455313289983,1.0342595563510635,1.1178066495766044,0.115
bf,0,45,1.0545779018407329,1.0316688294701528,1.0970240210884183,0.13
bf,0,55,1.0478599790438399,1.02652163704262,1.0947819730577362,0.17
bf,0,68,1.0416882270150176,1.0217822377024588,1.0851358350934008,0.21
bf,0,83,1.0356012755464807,1.017427816181448,1.0741660003106355,0.29
bf,0,101,1.03353964855016,1.0157824014680563,1.063150610822165,0.345
bf,0,123,1.0270530812225562,1.012911965434756,1.0524314393957146,0.405
bf,0,151,1.0239556171803685,1.0111428567499414,1.0457924314201235,0.445
bf,0,184,1.020295179670868,1.0082377740378334,1.0397061062470148,0.5
bf,0,225,1.017674656984412,1.0061330777281952,1.0351455302041177,0.54
bf,0,275,1.014655104740175,1.005926128049568,1.0342546090973288,0.585
bf,0,336,1.0138219731064508,1.0035158032668117,1.0308463332639612,0.62
bf,0,411,1.0123952047727496,1.0022947374032718,1.025933531582564,0.655
bf,0,502,1.0092928557230723,1.0007541472531363,1.0224130598279089,0.715
bf,0,614,1.0073198364940015,1.0,1.0178297977207298,0.77
bf,0,750,1.005181843908931,1.0,1.0134681119802509,0.815
bf,0,917,1.0027082227808364,1.0,1.011166153094605,0.875
bf,0,1121,1.0013378232519443,1.0,1.0092566603870445,0.9
bf,0,1369,1.0,1.0,1.0072240758751125,0.935
bf,0,1674,1.0,1.0,1.0025435918626397,0.975
bf,0,2046,1.0,1.0,1.0,0.985
bf,0,2500,1.0,1.0,1.0,1.0
bf,1,1,1.9996400616327883,1.4053343760156314,2.8073220368075122,0.015
bf,1,2,1.5061769002534395,1.205124622199156,2.1994032215883186,0.015
bf,1,3,1.3730171901693193,1.1613364770028078,1.8875638463449511,0.015
bf,1,4,1.2758092785842954,1.1214153669735254,1.6026324284141058,0.02
