condition,run,seg,L_k_m,Kp,Kth,t_arrive_s,eps_m,T_bound_s,within_bound,d_at_switch_m,V_before,V_after,t_switch_s
halt1cm_pnn,0,0,0.485869,0.926766,0.913096,3.8200,0.01,9.9426,1,0.009974,0.05661634,1.82151677,3.8200
halt1cm_pnn,0,1,0.241061,1.000000,1.077763,3.2220,0.01,7.7325,1,0.009995,0.08893582,0.05277829,7.0420
halt1cm_pnn,0,2,0.308184,0.858437,2.999105,2.6780,0.01,8.5235,1,0.009981,0.00008812,1.11786873,9.7200
halt1cm_pnn,0,3,0.423267,0.883835,2.838621,3.3190,0.01,9.0166,1,0.009990,0.00006405,1.94265603,13.0390
halt1cm_pnn,0,4,0.424110,1.000000,1.074672,3.2950,0.01,8.8314,1,0.009978,0.18550982,0.43267143,16.3340
halt1cm_pnn,0,5,0.927634,0.855952,2.928291,3.1800,0.01,11.0833,1,0.009978,0.00258343,0.21331944,19.5140
halt1cm_pnn,0,6,0.625915,0.845963,2.927668,3.0790,0.01,10.2907,1,0.009997,0.00070299,1.25392982,22.5930
halt1cm_pnn,0,7,0.468512,0.906267,2.836691,3.2950,0.01,9.0250,1,0.009986,0.00028971,1.53064152,25.8880
halt1cm_pnn,0,8,0.153329,0.917635,1.740737,3.0090,0.01,6.8842,1,0.009999,0.00016919,0.53879744,28.8970
halt1cm_pnn,0,9,0.914008,0.838707,2.886542,3.3580,0.01,11.2734,1,0.009997,0.00033549,1.33537767,32.2550
halt1cm_pnn,0,10,0.168834,0.832825,2.376789,3.1690,0.01,7.5088,1,0.009984,0.00907102,0.30467266,35.4240
halt1cm_pnn,0,11,0.302806,0.873127,3.000000,2.7990,0.01,8.3487,1,0.009983,0.00537100,,38.2230
halt1cm_pnn,1,0,0.371483,0.858126,2.953057,2.8040,0.01,8.9565,1,0.009980,0.00093686,0.75788111,2.8040
halt1cm_pnn,1,1,0.988913,0.860160,2.881519,3.3780,0.01,11.1863,1,0.009978,0.00020975,1.51521673,6.1820
halt1cm_pnn,1,2,0.117782,0.892609,1.731429,2.8640,0.01,6.5092,1,0.009992,0.00066181,0.34018766,9.0460
halt1cm_pnn,1,3,0.768341,0.826547,2.902035,3.3430,0.01,11.0145,1,0.009992,0.00006407,0.27955503,12.3890
halt1cm_pnn,1,4,0.732427,0.843502,2.923273,3.1420,0.01,10.6872,1,0.009981,0.00005456,1.42698040,15.5310
halt1cm_pnn,1,5,0.200825,0.862483,2.196220,3.1720,0.01,7.7002,1,0.009995,0.01392181,2.01542270,18.7030
halt1cm_pnn,1,6,0.858530,0.839515,2.188947,4.0710,0.01,11.2685,1,0.009979,0.00006273,1.77719777,22.7740
halt1cm_pnn,1,7,0.098121,0.929468,1.335177,2.8740,0.01,6.1609,1,0.009993,0.02971658,1.44348167,25.6480
halt1cm_pnn,1,8,0.379167,0.831303,2.726208,3.5690,0.01,9.3174,1,0.009992,0.00318583,0.93902290,29.2170
halt1cm_pnn,1,9,0.881189,0.943465,2.769952,3.1070,0.01,10.0185,1,0.009979,0.04796341,1.26945232,32.3240
halt1cm_pnn,1,10,0.319088,0.846011,2.860188,3.5100,0.01,8.7440,1,0.009997,0.00311339,2.31259546,35.8340
halt1cm_pnn,1,11,0.608065,0.961606,0.897799,3.7110,0.01,10.1214,1,0.009965,0.09650476,,39.5450
halt1cm_pnn,2,0,0.823140,0.900767,2.856225,3.0620,0.01,10.3050,1,0.009987,0.01280261,0.67944034,3.0620
halt1cm_pnn,2,1,0.395940,0.906415,2.988093,3.0910,0.01,8.6360,1,0.009979,0.00469480,0.67410105,6.1530
halt1cm_pnn,2,2,0.508491,0.919669,2.959241,3.1100,0.01,9.0549,1,0.009996,0.00896700,2.08480741,9.2630
halt1cm_pnn,2,3,0.294590,0.967360,0.987151,3.2860,0.01,8.4676,1,0.009991,0.06575363,1.61386848,12.5490
halt1cm_pnn,2,4,0.600423,0.883239,2.483768,3.5460,0.01,9.8683,1,0.009981,0.00128714,,16.0950
halt1cm_pnn,3,0,0.948938,0.848384,2.888569,3.3890,0.01,11.2374,1,0.009977,0.00021028,1.52159950,3.3890
halt1cm_pnn,3,1,0.163289,0.916574,1.762621,2.9980,0.01,7.0105,1,0.009979,0.00005147,0.73019517,6.3870
halt1cm_pnn,3,2,0.336825,0.884575,2.986986,3.0540,0.01,8.4820,1,0.009992,0.00137017,0.88227628,9.4410
halt1cm_pnn,3,3,0.728922,0.955597,2.848522,2.9940,0.01,9.4917,1,0.009991,0.04712387,0.20898810,12.4350
halt1cm_pnn,3,4,0.559639,0.888048,2.956569,2.9240,0.01,9.5729,1,0.009998,0.01165190,0.86329173,15.3590
halt1cm_pnn,3,5,0.366442,0.894199,2.961680,3.1790,0.01,8.5830,1,0.009977,0.00070535,,18.5380
halt1cm_pnn,4,0,0.104753,0.790136,2.960462,2.4860,0.01,6.6449,1,0.009990,0.00426419,0.76898603,2.4860
halt1cm_pnn,4,1,0.814639,0.931498,2.816302,3.0480,0.01,9.9659,1,0.009970,0.03251122,0.66373997,5.5340
halt1cm_pnn,4,2,0.262021,0.849307,2.993966,3.1710,0.01,8.2418,1,0.009985,0.00012949,0.81637367,8.7050
halt1cm_pnn,4,3,0.696571,0.949695,2.869330,3.0780,0.01,9.4499,1,0.009997,0.03806442,0.13958704,11.7830
halt1cm_pnn,4,4,0.527884,0.865153,2.948495,2.9070,0.01,9.6826,1,0.009978,0.00239383,1.16314650,14.6900
halt1cm_pnn,4,5,0.129493,0.784610,2.672357,3.1210,0.01,7.2366,1,0.009990,0.00226545,2.16475085,17.8110
halt1cm_pnn,4,6,0.353228,0.950548,0.955674,3.4830,0.01,9.0093,1,0.009988,0.06045716,2.55835497,21.2940
halt1cm_pnn,4,7,0.949015,0.883384,0.856413,4.3560,0.01,11.9502,1,0.009979,0.04836288,0.25474665,25.6500
halt1cm_pnn,4,8,0.705791,0.848573,2.924527,3.0860,0.01,10.5399,1,0.009991,0.00016007,0.28403980,28.7360
halt1cm_pnn,4,9,0.593780,0.899859,2.960709,2.8480,0.01,9.5822,1,0.009972,0.00996407,1.75273293,31.5840
halt1cm_pnn,4,10,0.653297,0.860035,2.342290,3.7270,0.01,10.3464,1,0.009998,0.00046875,0.32481178,35.3110
halt1cm_pnn,4,11,0.803667,0.848204,2.925530,3.1470,0.01,10.8463,1,0.009980,0.00045525,2.17927323,38.4580
halt1cm_pnn,4,12,0.773007,0.902359,1.294093,3.8530,0.01,10.7360,1,0.009972,0.02423246,1.78583185,42.3110
halt1cm_pnn,4,13,0.371044,0.962478,1.490478,3.3350,0.01,8.4946,1,0.009973,0.02060100,0.63463665,45.6460
