condition,run,n_waypoints,completed,diverged,t_end_s,n_segments_done,min_dwell_s,sup_dv,rms_dv,sup_dw,rms_dw,cross_track_rmse_m,peak_V
halt1cm_pnn,0,12,True,False,38.22300000000162,12,2.6779999999993658,0.7570586523027023,0.11075172995964937,4.18841986542908,0.7934696073925169,0.017849524280017685,5.974747021980764
halt1cm_pnn,1,12,True,False,39.54499999999854,12,2.803999999999802,0.6089091197952178,0.12351749012893015,5.3626580824915004,0.9015787898710579,0.02265109538345575,6.764874389847956
halt1cm_pnn,2,5,True,False,16.094999999996688,5,3.061999999999774,0.5818835316944918,0.11084445603367798,4.199812977273062,1.0197314760614695,0.022356526054368782,6.00700784072328
halt1cm_pnn,3,6,True,False,18.537999999999673,6,2.9239999999983795,0.6625216405864491,0.11871438629712001,4.3905687409394645,1.00740290792166,0.020517826635019127,6.398921509321707
halt1cm_pnn,4,18,True,False,58.146999999955185,18,2.4859999999998372,0.7399263381351251,0.13276584014139065,4.56424505782916,0.8145389714905978,0.023984775038516128,6.2385292918997655
halt1cm_pnn,5,18,True,False,57.76399999995608,18,2.5199999999986034,0.6694919729992111,0.12814246244812288,4.410373575890847,0.780216424140509,0.024162420516832588,6.931080929486284
halt1cm_pnn,6,19,True,False,59.13899999995287,19,2.3759999999944625,0.6434826405834334,0.14342906014055187,4.033901861767934,0.7983631330517311,0.027791300788872594,7.391687051536824
halt1cm_pnn,7,18,True,False,59.30299999995249,18,2.7669999999935513,0.5659401187191034,0.12309449664769247,5.001063871148422,0.8643338574290175,0.02696733151943229,7.5772988518723
halt1cm_pnn,8,7,True,False,24.924000000007478,7,2.9420000000035955,0.49581905464462794,0.11533362819449884,4.529855314815025,0.9327914738144966,0.02740526579364075,6.212466708498447
halt1cm_pnn,9,8,True,False,23.85400000000617,8,2.5800000000022205,0.38245497430981595,0.09640327586592064,4.057431225675821,0.7471853488301834,0.019037908623080753,6.490192085970334
halt1cm_pnn,10,17,True,False,55.21499999996202,17,2.5290000000030908,0.8078345992379588,0.137786469760103,4.281295212077518,0.7450670657621074,0.02812512027651947,6.072552133011757
halt1cm_pnn,11,20,True,False,63.60099999994247,20,2.6669999999937843,0.6795726892252281,0.11737528654179333,4.849170440522254,0.8775801170060809,0.023479740079190375,6.850961511697057
halt1cm_pnn,12,20,True,False,64.15499999994228,20,2.612000000000447,0.5943604560429487,0.13237715993353782,5.365256407344497,0.9239576954576778,0.025901443766765883,7.336108841038511
halt1cm_pnn,13,16,True,False,50.255999999973575,16,2.8280000000023975,0.5814369890634784,0.11573696068211455,4.756367156758187,0.8789282767814656,0.025068454136187194,6.386361782514731
halt1cm_pnn,14,13,True,False,42.01999999999277,13,2.607999999999824,0.7239870982524539,0.11292445542701197,4.706540325280152,0.9329125408254368,0.019702774725869364,6.448594833513273
halt1cm_pnn,15,8,True,False,25.700000000008426,8,2.7459999999987605,0.4605501387668046,0.12276722953234392,3.8811047479549816,0.9653749462054535,0.025036997862275562,6.168644378272613
halt1cm_pnn,16,15,True,False,48.21299999997834,15,2.648000000003236,0.7832466172464089,0.13602416032458764,4.8750662732462775,0.7386234424672368,0.020915022929721267,6.9827179459646995
halt1cm_pnn,17,18,True,False,57.374999999956984,18,2.458000000003004,0.7691646673301524,0.12580231761187322,4.404826251611849,0.9257832738507965,0.02748552011267485,7.095292434625586
halt1cm_pnn,18,7,True,False,22.20200000000415,7,2.7040000000033046,0.731970561803486,0.14533695678613479,3.9621866184969337,0.665857765675266,0.029576131920669903,5.683219875861572
halt1cm_pnn,19,8,True,False,26.984000000009996,8,2.8350000000034647,0.42309395315791126,0.11779925782093073,4.7188152879847856,1.0638223576804886,0.032377541304117824,6.780137920960668
tol5cm_pnn,0,12,True,False,28.546000000011905,12,1.7040000000020825,0.7512017783893172,0.1235927684737868,4.502966533393669,1.057449294276645,0.023713413396128202,6.572819979964618
tol5cm_pnn,1,12,True,False,28.48500000001183,12,1.2630000000015436,0.636023397955153,0.14133322057572506,4.314062197766498,1.0134597697436953,0.032356898873730625,6.943296463202442
tol5cm_pnn,2,5,True,False,12.325999999998608,5,2.1120000000000103,0.5818835316944918,0.12861010902457198,4.064484760439236,0.9675415879620775,0.025370801696296966,6.00700784072328
tol5cm_pnn,3,6,True,False,13.9639999999977,6,1.9100000000000423,0.6625216405864491,0.1312477436400201,4.221623946958693,1.1812328221560526,0.025452140231734293,6.398921509321707
