iter,KP1,KI1,KD1,KP2,KI2,KD2,mean_E,median_E,fail_rate
0,0.50000,0.01000,0.00100,1.00000,0.20000,0.00000,2321.91,2139.48,0.000
1,0.67211,0.33348,0.04443,3.56367,0.00615,0.00693,29065.25,1946.84,0.460
2,0.36193,0.47538,0.00815,3.74807,0.74935,0.03340,5350.58,1181.51,0.030
3,0.26428,0.27150,0.04323,0.24814,0.35237,0.04186,61887.90,5505.57,0.530
4,1.42679,0.13889,0.04149,5.59644,0.48143,0.02503,3113.39,1924.53,0.130
5,2.09623,0.48845,0.03767,2.61849,0.29041,0.01493,146680.05,8202.46,0.590
6,2.90884,0.17355,0.01790,2.06863,0.05461,0.01521,454744.97,363424.83,0.990
7,1.51233,0.45577,0.01841,4.80786,0.25693,0.04774,33752.31,2936.05,0.120
8,0.80495,0.17872,0.00192,5.63073,0.96015,0.02430,1996.73,1455.42,0.020
9,1.08104,0.45910,0.02756,0.78420,0.93590,0.00907,27320.14,4037.06,0.090
10,0.13850,0.36760,0.00153,4.63188,0.91259,0.00911,669.78,601.84,0.000
11,0.81967,0.19834,0.00485,5.91468,0.00896,0.00461,2076.47,1448.20,0.020
12,0.12619,0.01869,0.00444,5.18199,0.14822,0.03102,1243.19,1261.76,0.000
13,0.23337,0.00499,0.00079,5.55725,0.94306,0.00811,1521.47,1494.42,0.000
14,1.01459,0.01496,0.01822,5.83588,0.33689,0.04667,1035.21,962.21,0.000
15,1.17484,0.40412,0.04880,5.17766,0.72324,0.04661,12543.76,1628.04,0.050
16,0.24088,0.22520,0.00643,5.97829,0.05713,0.00508,7357.71,604.21,0.160
17,1.05719,0.04393,0.04867,4.64473,0.66852,0.00505,1575.06,1606.00,0.000
18,0.69867,0.00816,0.00010,1.66469,0.76940,0.04799,2081.15,2017.82,0.000
19,0.41221,0.49366,0.00304,5.65692,0.90923,0.04913,27751.11,1921.87,0.120
20,0.62103,0.05222,0.00060,4.52410,0.48989,0.01147,798.73,683.04,0.000
21,0.54162,0.41599,0.00015,0.89674,0.91481,0.00540,37455.85,3853.88,0.150
22,1.25311,0.46664,0.04987,5.52532,0.95074,0.00490,55826.07,1888.03,0.210
23,1.30070,0.03414,0.03013,1.30566,0.63700,0.03907,5619.10,3218.59,0.010
24,1.06737,0.00560,0.02464,4.21851,0.80200,0.02476,1313.98,1203.99,0.000
