path,controller,seg,L_k,Kp,Kth,t_arrive_s,d_at_switch_m
circle,ours,0,1.0000,0.8015,2.9888,3.670,0.0100
circle,ours,1,0.3883,0.8443,2.9690,3.592,0.0100
circle,ours,2,0.3990,0.7603,2.9620,3.447,0.0100
circle,ours,3,0.3995,0.7604,2.9621,3.439,0.0100
circle,ours,4,0.3994,0.7603,2.9620,3.442,0.0100
circle,ours,5,0.3994,0.7603,2.9620,3.442,0.0100
circle,ours,6,0.3994,0.7603,2.9620,3.442,0.0100
circle,ours,7,0.3994,0.7603,2.9620,3.442,0.0100
circle,ours,8,0.3994,0.7603,2.9620,3.442,0.0100
circle,ours,9,0.3994,0.7603,2.9620,3.442,0.0100
circle,ours,10,0.3994,0.7603,2.9620,3.442,0.0100
circle,ours,11,0.3994,0.7603,2.9620,3.442,0.0100
circle,ours,12,0.3994,0.7603,2.9620,3.442,0.0100
circle,ours,13,0.3994,0.7603,2.9620,3.442,0.0100
circle,ours,14,0.3994,0.7603,2.9620,3.442,0.0100
circle,ours,15,0.3994,0.7603,2.9620,3.442,0.0100
circle,ours_dr,0,1.0000,0.6884,2.9937,4.783,0.0100
circle,ours_dr,1,0.3883,0.6519,2.9737,4.892,0.0100
circle,ours_dr,2,0.3989,0.6772,2.9898,4.142,0.0100
circle,ours_dr,3,0.3993,0.6783,2.9902,4.099,0.0100
circle,ours_dr,4,0.3993,0.6784,2.9902,4.093,0.0100
circle,ours_dr,5,0.3994,0.6784,2.9903,4.093,0.0100
circle,ours_dr,6,0.3994,0.6784,2.9902,4.093,0.0100
circle,ours_dr,7,0.3994,0.6784,2.9902,4.093,0.0100
circle,ours_dr,8,0.3994,0.6784,2.9902,4.093,0.0100
circle,ours_dr,9,0.3994,0.6784,2.9902,4.093,0.0100
circle,ours_dr,10,0.3994,0.6784,2.9902,4.093,0.0100
circle,ours_dr,11,0.3994,0.6784,2.9902,4.093,0.0100
circle,ours_dr,12,0.3994,0.6784,2.9902,4.093,0.0100
circle,ours_dr,13,0.3994,0.6784,2.9902,4.093,0.0100
circle,ours_dr,14,0.3994,0.6784,2.9902,4.093,0.0100
circle,ours_dr,15,0.3994,0.6784,2.9902,4.093,0.0100
circle,pnn_bf,0,1.0000,0.8673,2.8600,3.179,0.0100
circle,pnn_bf,1,0.3894,0.8263,2.6794,3.650,0.0100
circle,pnn_bf,2,0.3992,0.8875,2.9958,2.724,0.0100
circle,pnn_bf,3,0.3995,0.8907,2.9942,2.721,0.0100
circle,pnn_bf,4,0.3996,0.8905,2.9943,2.716,0.0100
circle,pnn_bf,5,0.3996,0.8903,2.9943,2.716,0.0100
circle,pnn_bf,6,0.3996,0.8903,2.9943,2.716,0.0100
circle,pnn_bf,7,0.3996,0.8903,2.9943,2.716,0.0100
circle,pnn_bf,8,0.3996,0.8903,2.9943,2.716,0.0100
circle,pnn_bf,9,0.3996,0.8903,2.9943,2.716,0.0100
circle,pnn_bf,10,0.3996,0.8903,2.9943,2.716,0.0100
circle,pnn_bf,11,0.3996,0.8903,2.9943,2.716,0.0100
circle,pnn_bf,12,0.3996,0.8903,2.9943,2.716,0.0100
circle,pnn_bf,13,0.3996,0.8903,2.9943,2.716,0.0100
circle,pnn_bf,14,0.3996,0.8903,2.9943,2.716,0.0100
circle,pnn_bf,15,0.3996,0.8903,2.9943,2.716,0.0100
circle,lyap1,0,1.0000,0.8000,1.7000,3.690,0.0100
circle,lyap1,1,0.3882,0.8000,1.7000,3.906,0.0100
circle,lyap1,2,0.3986,0.8000,1.7000,3.295,0.0100
circle,lyap1,3,0.3991,0.8000,1.7000,3.244,0.0100
circle,lyap1,4,0.3992,0.8000,1.7000,3.234,0.0100
circle,lyap1,5,0.3992,0.8000,1.7000,3.231,0.0100
circle,lyap1,6,0.3992,0.8000,1.7000,3.231,0.0100
circle,lyap1,7,0.3992,0.8000,1.7000,3.231,0.0100
circle,lyap1,8,0.3992,0.8000,1.7000,3.231,0.0100
circle,lyap1,9,0.3992,0.8000,1.7000,3.231,0.0100
circle,lyap1,10,0.3992,0.8000,1.7000,3.231,0.0100
circle,lyap1,11,0.3992,0.8000,1.7000,3.231,0.0100
circle,lyap1,12,0.3992,0.8000,1.7000,3.231,0.0100
circle,lyap1,13,0.3992,0.8000,1.7000,3.231,0.0100
circle,lyap1,14,0.3992,0.8000,1.7000,3.231,0.0100
circle,lyap1,15,0.3992,0.8000,1.7000,3.231,0.0100
circle,lyap2,0,1.0000,0.5000,2.5000,7.543,0.0100
circle,lyap2,1,0.3884,0.5000,2.5000,6.663,0.0100
circle,lyap2,2,0.3990,0.5000,2.5000,6.176,0.0100
circle,lyap2,3,0.3994,0.5000,2.5000,6.151,0.0100
circle,lyap2,4,0.3994,0.5000,2.5000,6.151,0.0100
circle,lyap2,5,0.3994,0.5000,2.5000,6.151,0.0100
circle,lyap2,6,0.3994,0.5000,2.5000,6.151,0.0100
circle,lyap2,7,0.3994,0.5000,2.5000,6.151,0.0100
circle,lyap2,8,0.3994,0.5000,2.5000,6.151,0.0100
circle,lyap2,9,0.3994,0.5000,2.5000,6.151,0.0100
circle,lyap2,10,0.3994,0.5000,2.5000,6.151,0.0100
circle,lyap2,11,0.3994,0.5000,2.5000,6.151,0.0100
circle,lyap2,12,0.3994,0.5000,2.5000,6.151,0.0100
circle,lyap2,13,0.3994,0.5000,2.5000,6.151,0.0100
circle,lyap2,14,0.3994,0.5000,2.5000,6.151,0.0100
circle,lyap2,15,0.3994,0.5000,2.5000,6.151,0.0100
circle,pid_table3,0,1.0000,nan,nan,5.505,0.0100
circle,pid_table3,1,0.3818,nan,nan,11.730,0.0100
circle,pid_table3,2,0.3959,nan,nan,28.763,0.0100
circle,pid_tuned,0,1.0000,nan,nan,2.584,0.0095
circle,nmpc,0,,,,3.080,
circle,nmpc,1,,,,2.160,
circle,nmpc,2,,,,2.060,
circle,nmpc,3,,,,2.060,
circle,nmpc,4,,,,2.500,
circle,nmpc,5,,,,2.060,
circle,nmpc,6,,,,2.060,
circle,nmpc,7,,,,2.060,
circle,nmpc,8,,,,2.060,
circle,nmpc,9,,,,2.060,
circle,nmpc,10,,,,2.060,
circle,nmpc,11,,,,2.060,
circle,nmpc,12,,,,2.060,
circle,nmpc,13,,,,2.060,
circle,nmpc,14,,,,2.060,
circle,nmpc,15,,,,2.060,
circle,sac,0,1.0000,,,15.010,
infinity,ours,0,0.5210,0.9287,2.9807,3.569,0.0100
infinity,ours,1,0.3647,0.7605,2.9624,3.359,0.0100
infinity,ours,2,0.2671,0.7635,2.9570,3.415,0.0100
infinity,ours,3,0.3687,0.7640,2.9630,3.509,0.0100
infinity,ours,4,0.3707,0.7607,2.9625,3.398,0.0100
infinity,ours,5,0.2689,0.7565,2.9547,3.338,0.0100
infinity,ours,6,0.3612,0.7718,2.9649,3.572,0.0100
infinity,ours,7,0.5304,0.7706,2.9727,3.532,0.0100
infinity,ours,8,0.5310,0.7699,2.9724,3.496,0.0100
infinity,ours,9,0.3654,0.7588,2.9601,3.379,0.0100
infinity,ours,10,0.2670,0.7637,2.9536,3.420,0.0100
infinity,ours,11,0.3687,0.7626,2.9596,3.518,0.0100
infinity,ours,12,0.3707,0.7589,2.9600,3.410,0.0100
infinity,ours,13,0.2689,0.7574,2.9523,3.334,0.0100
infinity,ours,14,0.3612,0.7722,2.9618,3.569,0.0100
infinity,ours,15,0.5304,0.7684,2.9709,3.548,0.0100
infinity,ours_dr,0,0.5210,0.6283,2.9370,5.611,0.0100
infinity,ours_dr,1,0.3647,0.6782,2.9901,4.041,0.0100
infinity,ours_dr,2,0.2667,0.6705,2.9867,4.051,0.0100
infinity,ours_dr,3,0.3684,0.6756,2.9890,4.210,0.0100
infinity,ours_dr,4,0.3706,0.6786,2.9902,4.046,0.0100
infinity,ours_dr,5,0.2687,0.6729,2.9878,3.919,0.0100
infinity,ours_dr,6,0.3609,0.6727,2.9877,4.318,0.0100
infinity,ours_dr,7,0.5303,0.6840,2.9921,4.288,0.0100
infinity,ours_dr,8,0.5310,0.6843,2.9922,4.224,0.0100
infinity,ours_dr,9,0.3654,0.6780,2.9901,3.992,0.0100
infinity,ours_dr,10,0.2668,0.6689,2.9860,4.056,0.0100
infinity,ours_dr,11,0.3684,0.6736,2.9883,4.226,0.0100
infinity,ours_dr,12,0.3706,0.6772,2.9898,4.058,0.0100
infinity,ours_dr,13,0.2687,0.6716,2.9873,3.929,0.0100
infinity,ours_dr,14,0.3609,0.6704,2.9868,4.339,0.0100
infinity,ours_dr,15,0.5303,0.6817,2.9915,4.310,0.0100
infinity,pnn_bf,0,0.5210,0.8024,1.0166,4.461,0.0100
infinity,pnn_bf,1,0.3633,0.8719,3.0000,2.898,0.0100
infinity,pnn_bf,2,0.2675,0.8536,3.0000,2.977,0.0100
infinity,pnn_bf,3,0.3692,0.8819,3.0000,2.867,0.0100
infinity,pnn_bf,4,0.3710,0.8626,2.9695,2.812,0.0100
infinity,pnn_bf,5,0.2691,0.8509,3.0000,2.865,0.0100
infinity,pnn_bf,6,0.3616,0.8948,3.0000,2.963,0.0100
infinity,pnn_bf,7,0.5307,0.8504,2.9340,2.993,0.0100
infinity,pnn_bf,8,0.5310,0.8644,2.9478,2.879,0.0100
infinity,pnn_bf,9,0.3655,0.8788,3.0000,2.705,0.0100
infinity,pnn_bf,10,0.2672,0.8576,2.9730,2.988,0.0100
infinity,pnn_bf,11,0.3692,0.8907,3.0000,2.830,0.0100
infinity,pnn_bf,12,0.3711,0.8849,3.0000,2.713,0.0100
infinity,pnn_bf,13,0.2692,0.8633,3.0000,2.819,0.0100
infinity,pnn_bf,14,0.3616,0.8886,2.9760,2.993,0.0100
infinity,pnn_bf,15,0.5307,0.8879,2.9601,2.791,0.0100
infinity,lyap1,0,0.5210,0.8000,1.7000,4.238,0.0100
infinity,lyap1,1,0.3642,0.8000,1.7000,3.251,0.0100
infinity,lyap1,2,0.2663,0.8000,1.7000,3.347,0.0100
infinity,lyap1,3,0.3682,0.8000,1.7000,3.424,0.0100
infinity,lyap1,4,0.3705,0.8000,1.7000,3.223,0.0100
infinity,lyap1,5,0.2685,0.8000,1.7000,3.194,0.0100
infinity,lyap1,6,0.3605,0.8000,1.7000,3.540,0.0100
infinity,lyap1,7,0.5302,0.8000,1.7000,3.384,0.0100
infinity,lyap1,8,0.5310,0.8000,1.7000,3.281,0.0100
infinity,lyap1,9,0.3655,0.8000,1.7000,3.120,0.0100
infinity,lyap1,10,0.2667,0.8000,1.7000,3.316,0.0100
infinity,lyap1,11,0.3682,0.8000,1.7000,3.419,0.0100
infinity,lyap1,12,0.3705,0.8000,1.7000,3.222,0.0100
infinity,lyap1,13,0.2685,0.8000,1.7000,3.194,0.0100
infinity,lyap1,14,0.3605,0.8000,1.7000,3.540,0.0100
infinity,lyap1,15,0.5302,0.8000,1.7000,3.384,0.0100
infinity,lyap2,0,0.5210,0.5000,2.5000,7.295,0.0100
infinity,lyap2,1,0.3648,0.5000,2.5000,6.040,0.0100
infinity,lyap2,2,0.2669,0.5000,2.5000,5.768,0.0100
infinity,lyap2,3,0.3687,0.5000,2.5000,6.163,0.0100
infinity,lyap2,4,0.3707,0.5000,2.5000,6.049,0.0100
infinity,lyap2,5,0.2689,0.5000,2.5000,5.670,0.0100
infinity,lyap2,6,0.3611,0.5000,2.5000,6.235,0.0100
infinity,lyap2,7,0.5304,0.5000,2.5000,6.570,0.0100
infinity,lyap2,8,0.5310,0.5000,2.5000,6.533,0.0100
infinity,lyap2,9,0.3654,0.5000,2.5000,6.000,0.0100
infinity,lyap2,10,0.2670,0.5000,2.5000,5.767,0.0100
infinity,lyap2,11,0.3687,0.5000,2.5000,6.163,0.0100
infinity,lyap2,12,0.3707,0.5000,2.5000,6.049,0.0100
infinity,lyap2,13,0.2689,0.5000,2.5000,5.670,0.0100
infinity,lyap2,14,0.3611,0.5000,2.5000,6.235,0.0100
infinity,lyap2,15,0.5304,0.5000,2.5000,6.570,0.0100
infinity,pid_table3,0,0.5210,nan,nan,7.353,0.0100
infinity,pid_table3,1,0.3462,nan,nan,11.628,0.0100
infinity,pid_table3,2,0.2589,nan,nan,24.440,0.0100
infinity,pid_tuned,0,0.5210,nan,nan,2.692,0.0097
infinity,pid_tuned,1,0.3636,nan,nan,1.763,0.0097
infinity,pid_tuned,2,0.2710,nan,nan,1.232,0.0097
infinity,pid_tuned,3,0.3563,nan,nan,1.975,0.0099
infinity,nmpc,0,,,,2.520,
infinity,nmpc,1,,,,1.960,
infinity,nmpc,2,,,,2.180,
infinity,nmpc,3,,,,2.020,
infinity,nmpc,4,,,,1.980,
infinity,nmpc,5,,,,1.720,
infinity,nmpc,6,,,,2.020,
infinity,nmpc,7,,,,2.360,
infinity,nmpc,8,,,,2.340,
infinity,nmpc,9,,,,1.960,
infinity,nmpc,10,,,,1.740,
infinity,nmpc,11,,,,2.020,
infinity,nmpc,12,,,,1.980,
infinity,nmpc,13,,,,1.720,
infinity,nmpc,14,,,,2.400,
infinity,nmpc,15,,,,2.360,
infinity,sac,0,0.5210,,,15.010,
line,ours,0,1.0000,0.8935,2.9931,3.662,0.0100
line,ours,1,0.5011,0.8589,2.9860,3.590,0.0100
line,ours,2,0.5099,0.7685,2.9711,3.479,0.0100
line,ours,3,0.5100,0.7688,2.9714,3.479,0.0100
line,ours,4,0.5100,0.7688,2.9714,3.479,0.0100
line,ours,5,0.5100,0.7688,2.9714,3.479,0.0100
line,ours,6,0.5100,0.7688,2.9714,3.479,0.0100
line,ours,7,0.5100,0.7688,2.9714,3.479,0.0100
line,ours,8,0.5100,0.7688,2.9714,3.479,0.0100
line,ours,9,0.5100,0.7688,2.9714,3.479,0.0100
line,ours,10,0.5100,0.7688,2.9714,3.479,0.0100
line,ours_dr,0,1.0000,0.6366,2.9558,5.904,0.0100
line,ours_dr,1,0.5010,0.6631,2.9825,4.908,0.0100
line,ours_dr,2,0.5100,0.6839,2.9921,4.198,0.0100
line,ours_dr,3,0.5100,0.6837,2.9920,4.195,0.0100
line,ours_dr,4,0.5100,0.6837,2.9920,4.195,0.0100
line,ours_dr,5,0.5100,0.6837,2.9920,4.195,0.0100
line,ours_dr,6,0.5100,0.6837,2.9920,4.195,0.0100
line,ours_dr,7,0.5100,0.6837,2.9920,4.195,0.0100
line,ours_dr,8,0.5100,0.6837,2.9920,4.195,0.0100
line,ours_dr,9,0.5100,0.6837,2.9920,4.195,0.0100
line,ours_dr,10,0.5100,0.6837,2.9920,4.195,0.0100
line,pnn_bf,0,1.0000,0.9615,2.3121,3.346,0.0100
line,pnn_bf,1,0.4969,0.9292,2.8658,3.291,0.0100
line,pnn_bf,2,0.5098,0.8710,2.9534,2.858,0.0100
line,pnn_bf,3,0.5100,0.8677,2.9522,2.844,0.0100
line,pnn_bf,4,0.5100,0.8642,2.9511,2.862,0.0100
line,pnn_bf,5,0.5100,0.8644,2.9511,2.861,0.0100
line,pnn_bf,6,0.5100,0.8646,2.9512,2.860,0.0100
line,pnn_bf,7,0.5100,0.8645,2.9512,2.860,0.0100
line,pnn_bf,8,0.5100,0.8645,2.9512,2.860,0.0100
line,pnn_bf,9,0.5100,0.8645,2.9512,2.860,0.0100
line,pnn_bf,10,0.5100,0.8645,2.9512,2.860,0.0100
line,lyap1,0,1.0000,0.8000,1.7000,4.324,0.0100
line,lyap1,1,0.5006,0.8000,1.7000,3.925,0.0100
line,lyap1,2,0.5100,0.8000,1.7000,3.267,0.0100
line,lyap1,3,0.5100,0.8000,1.7000,3.257,0.0100
line,lyap1,4,0.5100,0.8000,1.7000,3.256,0.0100
line,lyap1,5,0.5100,0.8000,1.7000,3.256,0.0100
line,lyap1,6,0.5100,0.8000,1.7000,3.256,0.0100
line,lyap1,7,0.5100,0.8000,1.7000,3.256,0.0100
line,lyap1,8,0.5100,0.8000,1.7000,3.256,0.0100
line,lyap1,9,0.5100,0.8000,1.7000,3.256,0.0100
line,lyap1,10,0.5100,0.8000,1.7000,3.256,0.0100
line,lyap2,0,1.0000,0.5000,2.5000,8.020,0.0100
line,lyap2,1,0.5007,0.5000,2.5000,6.944,0.0100
line,lyap2,2,0.5100,0.5000,2.5000,6.474,0.0100
line,lyap2,3,0.5100,0.5000,2.5000,6.472,0.0100
line,lyap2,4,0.5100,0.5000,2.5000,6.472,0.0100
line,lyap2,5,0.5100,0.5000,2.5000,6.472,0.0100
line,lyap2,6,0.5100,0.5000,2.5000,6.472,0.0100
line,lyap2,7,0.5100,0.5000,2.5000,6.472,0.0100
line,lyap2,8,0.5100,0.5000,2.5000,6.472,0.0100
line,lyap2,9,0.5100,0.5000,2.5000,6.472,0.0100
line,lyap2,10,0.5100,0.5000,2.5000,6.472,0.0100
line,pid_table3,0,1.0000,nan,nan,11.209,0.0100
line,pid_table3,1,0.5050,nan,nan,24.732,0.0100
line,pid_tuned,0,1.0000,nan,nan,2.641,0.0094
line,pid_tuned,1,0.4948,nan,nan,3.793,0.0093
line,nmpc,0,,,,3.200,
line,nmpc,1,,,,2.400,
line,nmpc,2,,,,2.300,
line,nmpc,3,,,,2.300,
line,nmpc,4,,,,2.300,
line,nmpc,5,,,,2.300,
line,nmpc,6,,,,2.300,
line,nmpc,7,,,,2.300,
line,nmpc,8,,,,2.300,
line,nmpc,9,,,,2.300,
line,nmpc,10,,,,2.300,
line,sac,0,1.0000,,,15.010,
random,ours,0,0.8625,0.8063,2.9871,3.729,0.0100
random,ours,1,0.7369,0.7830,2.9813,3.613,0.0100
random,ours,2,0.6386,0.7785,2.9776,3.658,0.0100
random,ours,3,0.7378,0.7853,2.9818,3.680,0.0100
random,ours,4,0.8734,0.7910,2.9855,3.629,0.0100
random,ours,5,0.8714,0.7908,2.9855,3.608,0.0100
random,ours,6,0.7347,0.7824,2.9810,3.612,0.0100
random,ours,7,0.6387,0.7765,2.9758,3.670,0.0100
random,ours,8,0.7399,0.7841,2.9806,3.691,0.0100
random,ours,9,0.8744,0.7913,2.9856,3.626,0.0100
random,ours_dr,0,0.8625,0.6795,2.9911,4.893,0.0100
random,ours_dr,1,0.7368,0.6893,2.9936,4.469,0.0100
random,ours_dr,2,0.6386,0.6855,2.9926,4.476,0.0100
random,ours_dr,3,0.7377,0.6872,2.9931,4.591,0.0100
random,ours_dr,4,0.8733,0.6913,2.9942,4.599,0.0100
random,ours_dr,5,0.8714,0.6913,2.9942,4.570,0.0100
random,ours_dr,6,0.7347,0.6873,2.9932,4.491,0.0100
random,ours_dr,7,0.6386,0.6818,2.9916,4.516,0.0100
random,ours_dr,8,0.7399,0.6827,2.9920,4.638,0.0100
random,ours_dr,9,0.8744,0.6889,2.9937,4.625,0.0100
random,pnn_bf,0,0.8625,0.9058,2.8262,3.099,0.0100
random,pnn_bf,1,0.7361,0.8327,2.9118,3.290,0.0100
random,pnn_bf,2,0.6390,0.8628,2.9178,3.061,0.0100
random,pnn_bf,3,0.7382,0.8557,2.8993,3.163,0.0100
random,pnn_bf,4,0.8735,0.8347,2.9139,3.274,0.0100
random,pnn_bf,5,0.8714,0.8539,2.9285,3.127,0.0100
random,pnn_bf,6,0.7347,0.8744,2.9324,2.966,0.0100
random,pnn_bf,7,0.6389,0.9031,2.9491,2.867,0.0100
random,pnn_bf,8,0.7405,0.8975,2.9069,2.934,0.0100
random,pnn_bf,9,0.8746,0.8676,2.9175,3.054,0.0100
random,lyap1,0,0.8625,0.8000,1.7000,3.800,0.0100
random,lyap1,1,0.7368,0.8000,1.7000,3.467,0.0100
random,lyap1,2,0.6386,0.8000,1.7000,3.525,0.0100
random,lyap1,3,0.7377,0.8000,1.7000,3.623,0.0100
random,lyap1,4,0.8733,0.8000,1.7000,3.579,0.0100
random,lyap1,5,0.8714,0.8000,1.7000,3.532,0.0100
random,lyap1,6,0.7347,0.8000,1.7000,3.474,0.0100
random,lyap1,7,0.6386,0.8000,1.7000,3.533,0.0100
random,lyap1,8,0.7398,0.8000,1.7000,3.623,0.0100
random,lyap1,9,0.8744,0.8000,1.7000,3.579,0.0100
random,lyap2,0,0.8625,0.5000,2.5000,7.439,0.0100
random,lyap2,1,0.7368,0.5000,2.5000,7.045,0.0100
random,lyap2,2,0.6387,0.5000,2.5000,6.898,0.0100
random,lyap2,3,0.7378,0.5000,2.5000,7.116,0.0100
random,lyap2,4,0.8734,0.5000,2.5000,7.301,0.0100
random,lyap2,5,0.8714,0.5000,2.5000,7.282,0.0100
random,lyap2,6,0.7347,0.5000,2.5000,7.042,0.0100
random,lyap2,7,0.6387,0.5000,2.5000,6.899,0.0100
random,lyap2,8,0.7400,0.5000,2.5000,7.119,0.0100
random,lyap2,9,0.8745,0.5000,2.5000,7.303,0.0100
random,pid_table3,0,0.8625,nan,nan,5.941,0.0100
random,pid_table3,1,0.7275,nan,nan,4.543,0.0100
random,pid_table3,2,0.6322,nan,nan,16.732,0.0100
random,pid_tuned,0,0.8625,nan,nan,2.594,0.0096
random,nmpc,0,,,,2.940,
random,nmpc,1,,,,2.720,
random,nmpc,2,,,,2.580,
random,nmpc,3,,,,2.740,
random,nmpc,4,,,,2.900,
random,nmpc,5,,,,2.900,
random,nmpc,6,,,,2.700,
random,nmpc,7,,,,2.580,
random,nmpc,8,,,,2.740,
random,nmpc,9,,,,2.900,
random,sac,0,0.8625,,,15.010,
