path,controller,completed,t_total_s,t_desired_s,cross_track_rmse_m,e_l_mean_m,energy_J,peak_V,diverged,n_segments_done
circle,ours,1,55.45,23.98,0.00867,0.00519,4.337,6.20,0,16
circle,ours_dr,1,67.03,23.98,0.00764,0.00433,3.672,5.48,0,16
circle,pnn_bf,1,44.87,23.98,0.00995,0.00721,5.153,6.60,0,16
circle,lyap1,1,52.91,23.98,0.01590,0.01073,4.354,6.04,0,16
circle,lyap2,1,100.35,23.98,0.00546,0.00265,2.488,4.19,0,16
circle,pid_table3,0,200.00,23.98,0.47913,0.34817,382.836,12.00,0,3
circle,pid_tuned,0,48.44,23.98,18.09904,14.32430,171.929,12.00,1,1
circle,nmpc,1,34.52,23.98,0.00352,0.00150,29.252,12.00,0,16
circle,sac,0,15.01,23.98,0.14441,0.12012,,,0,1
infinity,ours,1,55.37,21.00,0.01690,0.00788,3.873,5.27,0,16
infinity,ours_dr,1,67.62,21.00,0.01313,0.00637,3.337,4.85,0,16
infinity,pnn_bf,1,47.55,21.00,0.01608,0.00942,4.157,3.73,0,16
infinity,lyap1,1,54.08,21.00,0.02054,0.01339,3.531,3.81,0,16
infinity,lyap2,1,98.78,21.00,0.00966,0.00399,2.318,4.24,0,16
infinity,pid_table3,0,200.00,21.00,0.67155,0.53937,380.898,12.00,0,3
infinity,pid_tuned,0,57.77,21.00,27.33071,20.50054,197.704,12.00,1,4
infinity,nmpc,1,33.28,21.00,0.00433,0.00194,32.826,12.00,0,16
infinity,sac,0,15.01,21.00,0.03372,0.02592,,,0,1
line,ours,1,38.56,21.00,0.01603,0.00468,4.778,7.13,0,11
line,ours_dr,1,48.57,21.00,0.01129,0.00345,3.665,5.60,0,11
line,pnn_bf,1,32.36,21.00,0.01621,0.00619,5.432,7.43,0,11
line,lyap1,1,37.57,21.00,0.01382,0.00488,4.498,6.30,0,11
line,lyap2,1,73.21,21.00,0.00693,0.00204,2.555,4.64,0,11
line,pid_table3,0,200.00,21.00,0.59637,0.47454,408.681,12.00,0,2
line,pid_tuned,0,47.04,21.00,5.39771,4.63271,167.797,12.00,1,2
line,nmpc,1,26.30,21.00,0.00124,0.00050,16.113,12.00,0,11
line,sac,0,15.01,21.00,0.17714,0.16641,,,0,1
random,ours,1,36.52,26.69,0.01266,0.00738,7.370,5.82,0,10
random,ours_dr,1,45.87,26.69,0.01028,0.00541,6.012,5.13,0,10
random,pnn_bf,1,30.84,26.69,0.01496,0.00953,8.494,6.32,0,10
random,lyap1,1,35.74,26.69,0.02389,0.01405,7.444,5.47,0,10
random,lyap2,1,71.44,26.69,0.00762,0.00310,4.002,4.02,0,10
random,pid_table3,0,200.00,26.69,0.55271,0.43814,435.924,12.00,0,3
random,pid_tuned,0,55.82,26.69,1.69369,1.54453,198.766,12.00,1,1
random,nmpc,1,27.70,26.69,0.00369,0.00146,22.997,12.00,0,10
random,sac,0,15.01,26.69,0.12202,0.11002,,,0,1
