cell,variant,metric,baseline,n_pairs,median_ours,median_baseline,median_paired_diff,p_raw,p_holm,significant_05
heldout30,clean,e_total_Cl1m,ours_dr,30,288.365,725.9549999999999,-456.96500000000003,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,e_total_Cl1m,pnn_bf,30,288.365,632.78,-349.185,3.5390257835388184e-08,7.078051567077637e-08,1
heldout30,clean,e_total_Cl1m,lyap1,30,288.365,445.03,-164.04500000000002,0.001038169488310814,0.001038169488310814,1
heldout30,clean,e_total_Cl1m,lyap2,30,288.365,1016.44,-743.555,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,e_total_Cl1m,pid_table3,30,288.365,2428.76,-2182.3500000000004,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,e_total_Cl1m,pid_tuned,30,288.365,21421.65,-20984.29,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,e_total_Cl1m,nmpc,30,288.365,136.64,149.87,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,e_total_Cl1m,sac,30,288.365,2869.5699999999997,-2607.085,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,cross_track_rmse_m,ours_dr,30,0.147055,0.086105,0.06136499999999999,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,cross_track_rmse_m,pnn_bf,30,0.147055,0.085215,0.0619,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,cross_track_rmse_m,lyap1,30,0.147055,0.11237,0.03718,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,cross_track_rmse_m,lyap2,30,0.147055,0.07048,0.07685499999999998,1.7333066441991056e-06,5.1999199325973165e-06,1
heldout30,clean,cross_track_rmse_m,pid_table3,30,0.147055,0.155145,-0.0035300000000000054,0.0635564886033535,0.0635564886033535,0
heldout30,clean,cross_track_rmse_m,pid_tuned,30,0.147055,15.9185,-15.777639999999998,1.862645149230957e-08,7.450580596923828e-08,1
heldout30,clean,cross_track_rmse_m,nmpc,30,0.147055,0.006954999999999999,0.140085,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,cross_track_rmse_m,sac,30,0.147055,0.091505,0.07652999999999999,4.4075772166252136e-05,8.815154433250427e-05,1
heldout30,clean,e_th,ours_dr,30,12.66,68.32499999999999,-55.995000000000005,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,e_th,pnn_bf,30,12.66,96.14,-85.22999999999999,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,e_th,lyap1,30,12.66,97.725,-87.89500000000001,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,e_th,lyap2,30,12.66,61.0,-48.86999999999999,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,e_th,pid_table3,30,12.66,329.7,-316.395,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,e_th,pid_tuned,30,12.66,680.15,-662.5999999999999,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,e_th,nmpc,30,12.66,0.0,12.66,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,e_th,sac,30,12.66,598.98,-578.965,3.725290298461914e-09,1.4901161193847656e-08,1
heldout30,clean,e_time,ours_dr,30,44.075,256.49,-208.81,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,e_time,pnn_bf,30,44.075,164.38,-132.15,5.144625902175903e-06,1.0289251804351807e-05,1
heldout30,clean,e_time,lyap1,30,44.075,54.394999999999996,-10.32,0.5158484429121017,0.5158484429121017,0
heldout30,clean,e_time,lyap2,30,44.075,414.745,-369.78499999999997,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,e_time,pid_table3,30,44.075,826.54,-766.645,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,e_time,pid_tuned,30,44.075,999.355,-952.4649999999999,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,e_time,nmpc,30,44.075,66.35,-21.915,1.862645149230957e-08,5.587935447692871e-08,1
heldout30,clean,e_time,sac,30,44.075,794.8050000000001,-751.1,1.862645149230957e-09,1.4901161193847656e-08,1
heldout30,clean,energy_J,ours_dr,30,3.1931000000000003,1.7761,1.41285,1.862645149230957e-09,1.30385160446167e-08,1
heldout30,clean,energy_J,pnn_bf,30,3.1931000000000003,1.80925,1.38285,1.862645149230957e-09,1.30385160446167e-08,1
heldout30,clean,energy_J,lyap1,30,3.1931000000000003,2.3556999999999997,0.82545,1.862645149230957e-09,1.30385160446167e-08,1
heldout30,clean,energy_J,lyap2,30,3.1931000000000003,1.3869500000000001,1.7920500000000001,1.862645149230957e-09,1.30385160446167e-08,1
heldout30,clean,energy_J,pid_table3,30,3.1931000000000003,5.02425,-1.8270499999999998,1.862645149230957e-09,1.30385160446167e-08,1
heldout30,clean,energy_J,pid_tuned,30,3.1931000000000003,163.4348,-160.593,1.862645149230957e-09,1.30385160446167e-08,1
heldout30,clean,energy_J,nmpc,30,3.1931000000000003,5.3741,-2.2067,1.862645149230957e-09,1.30385160446167e-08,1
heldout30,clean,peak_V,ours_dr,30,8.8275,6.856,1.9735000000000005,1.862645149230957e-09,1.30385160446167e-08,1
