head,labels,seed,E_indist_median,E_over_Egrid_median,E_heldout_median_Cl1m,heldout_arrival,heldout_diverged,heldout_xt_rmse,Kp_min,Kp_max,Kth_min,Kth_max
linear,bf,0,680.62,1.0522,282.62,0.9333,0,0.04141,0.111,0.948,0.909,2.958
linear,bf,1,677.46,1.0284,289.89,1.0000,0,0.04765,0.660,0.994,0.825,2.947
linear,bf,2,671.69,1.0371,322.68,1.0000,0,0.04915,0.308,1.000,0.802,2.938
linear,bf,3,674.73,1.0343,227.87,1.0000,0,0.04383,0.428,0.960,0.766,3.000
linear,bf,4,671.82,1.0415,267.55,1.0000,0,0.04195,0.620,0.908,0.500,2.924
linear,bf,5,676.39,1.0359,371.98,1.0000,0,0.04783,0.594,1.000,0.757,3.000
linear,bf,6,667.29,1.0336,341.10,1.0000,0,0.04777,0.663,1.000,0.841,2.846
linear,bf,7,670.41,1.0293,181.00,1.0000,0,0.04166,0.577,0.886,0.892,2.911
linear,bf,8,677.75,1.0462,349.03,1.0000,0,0.05128,0.580,0.990,0.965,3.000
linear,bf,9,658.27,1.0306,226.87,1.0000,0,0.04790,0.729,1.000,0.885,2.956
linear,bo,0,675.78,1.0569,210.46,1.0000,0,0.04647,0.623,1.000,0.732,3.000
linear,bo,1,682.06,1.0589,241.12,1.0000,0,0.05740,0.675,0.933,2.399,3.000
linear,bo,2,680.86,1.0878,322.87,1.0000,0,0.04973,0.717,1.000,1.278,2.957
linear,bo,3,674.10,1.0644,195.27,1.0000,0,0.03981,0.612,0.913,1.159,3.000
linear,bo,4,672.45,1.0604,312.40,1.0000,0,0.04365,0.527,0.915,0.500,2.997
linear,bo,5,683.45,1.0714,340.24,1.0000,0,0.04025,0.546,0.955,0.500,3.000
linear,bo,6,687.19,1.0733,367.12,1.0000,0,0.05026,0.785,1.000,1.151,3.000
linear,bo,7,680.32,1.0562,286.48,1.0000,0,0.04530,0.789,0.921,1.065,2.923
linear,bo,8,678.26,1.0531,333.58,1.0000,0,0.05233,0.597,0.954,0.902,3.000
linear,bo,9,686.26,1.0709,377.51,1.0000,0,0.05136,0.741,1.000,0.991,3.000
sigmoid,bf,0,675.98,1.0502,411.55,1.0000,0,0.04787,0.502,0.970,0.984,2.972
sigmoid,bf,1,686.13,1.0271,228.18,1.0000,0,0.04474,0.632,0.948,0.800,3.000
sigmoid,bf,2,693.19,1.0536,313.87,1.0000,0,0.05037,0.651,0.923,0.810,3.000
sigmoid,bf,3,687.40,1.0480,446.54,1.0000,0,0.04127,0.557,0.951,0.867,3.000
sigmoid,bf,4,696.71,1.0615,327.90,1.0000,0,0.05366,0.602,0.933,0.808,3.000
sigmoid,bf,5,692.53,1.0467,327.80,1.0000,0,0.04537,0.606,0.948,0.881,3.000
sigmoid,bf,6,691.36,1.0476,343.51,1.0000,0,0.04837,0.641,0.956,0.850,3.000
sigmoid,bf,7,693.26,1.0559,334.87,1.0000,0,0.03988,0.541,0.904,0.961,3.000
sigmoid,bf,8,694.22,1.0511,388.62,1.0000,0,0.04635,0.533,0.953,0.947,3.000
sigmoid,bf,9,696.21,1.0576,285.22,1.0000,0,0.05085,0.677,0.948,0.835,3.000
sigmoid,bo,0,679.99,1.0638,318.96,1.0000,0,0.04767,0.755,0.952,1.098,2.957
sigmoid,bo,1,669.15,1.0550,277.95,1.0000,0,0.04743,0.759,0.953,1.745,2.964
sigmoid,bo,2,690.70,1.0706,336.10,1.0000,0,0.04051,0.734,0.888,1.329,2.955
sigmoid,bo,3,678.58,1.0616,267.01,1.0000,0,0.04369,0.786,0.895,1.449,3.000
sigmoid,bo,4,686.93,1.0661,307.16,1.0000,0,0.04914,0.709,0.893,0.575,3.000
sigmoid,bo,5,677.97,1.0546,289.86,1.0000,0,0.03592,0.662,0.898,0.923,3.000
sigmoid,bo,6,691.22,1.0687,341.02,1.0000,0,0.04804,0.572,0.919,1.127,3.000
sigmoid,bo,7,681.07,1.0532,281.27,1.0000,0,0.04541,0.754,0.937,0.867,2.957
sigmoid,bo,8,672.69,1.0498,343.78,1.0000,0,0.04742,0.735,0.933,0.630,2.983
sigmoid,bo,9,690.60,1.0726,285.89,1.0000,0,0.04411,0.779,0.893,0.664,3.000
