head,labels,seed,E,arrival,xt
linear,bf,0,2014.1526948752808,0.7666666666666667,0.02055586201665051
linear,bf,1,594.7479021684555,1.0,0.0946038627926154
linear,bf,2,1256.7457669971895,1.0,0.055081425277765855
linear,bf,3,526.7497499174449,1.0,0.1108250584244737
linear,bf,4,598.4588636993643,1.0,0.12691019782836305
linear,bf,5,573.069588272163,1.0,0.11416474180898989
linear,bf,6,586.328402206382,1.0,0.1089260977620641
linear,bf,7,684.1716998899724,1.0,0.09074324188552713
linear,bf,8,638.2403960284441,1.0,0.08972385377316067
linear,bf,9,921.3044191588679,1.0,0.14180731789989856
linear,bo,0,351.52858469239925,1.0,0.14814897119709725
linear,bo,1,429.27390516667845,1.0,0.12262905968453047
linear,bo,2,464.53124645918143,1.0,0.11458140976827835
linear,bo,3,661.122709487682,1.0,0.08682704996035877
linear,bo,4,857.3142104926869,1.0,0.10020570942584506
linear,bo,5,609.6228713947128,1.0,0.12730077840992265
linear,bo,6,501.9168499075922,1.0,0.11939728646654349
linear,bo,7,472.37027149132774,1.0,0.12212389472882862
linear,bo,8,648.0499780524017,1.0,0.08893527587844022
linear,bo,9,772.3225016930628,1.0,0.14526331510764923
sigmoid,bf,0,722.3246792271966,1.0,0.07635974217723669
sigmoid,bf,1,529.255143813881,1.0,0.11276279408589687
sigmoid,bf,2,537.9752170014935,1.0,0.10860479414015647
sigmoid,bf,3,653.8283304882432,1.0,0.10184630605746789
sigmoid,bf,4,508.676839508241,1.0,0.12563676952321348
sigmoid,bf,5,642.4519085940626,1.0,0.0920087399403065
sigmoid,bf,6,606.0502070995038,1.0,0.10869991291284267
sigmoid,bf,7,747.6768273423068,1.0,0.08571310766018841
sigmoid,bf,8,724.7709209970441,1.0,0.0840197441598682
sigmoid,bf,9,536.7118233498329,1.0,0.10463823775706554
sigmoid,bo,0,403.4576897675292,1.0,0.13203429111730283
sigmoid,bo,1,255.83906831087666,1.0,0.1405685450624643
sigmoid,bo,2,444.820974808704,1.0,0.11330881019521932
sigmoid,bo,3,524.5687051928029,1.0,0.1115617147038809
sigmoid,bo,4,711.6455073047098,1.0,0.1356230250217803
sigmoid,bo,5,595.5511125639764,1.0,0.11151320214745691
sigmoid,bo,6,572.6587373734458,1.0,0.11426201750641954
sigmoid,bo,7,565.2667510473386,1.0,0.13294988085442813
sigmoid,bo,8,542.4503672025722,1.0,0.11187854101089295
sigmoid,bo,9,352.53948245436305,1.0,0.147578204251253
