vel_bias,controller,run,x_ref,y_ref,Kp,Kth,arrived,diverged,t_end_s,final_d_m,final_x,final_y,hold_final_d_m,hold_diverged,e_total_Cl1m,e_line,e_th,e_time,e_l_mean_m,cross_track_rmse_m,energy_J,peak_V
0,ours_bptt,0,-0.4828,-0.7608,0.942736,2.990940,1,0,3.605,0.009992,-0.47880,-0.75159,0.000000,0,238.66,58.71,30.18,45.12,0.058711,0.080686,1.6055,6.558
0,ours_bptt,1,0.3886,-0.1909,0.764456,2.966431,1,0,3.512,0.009984,0.37960,-0.18651,0.000000,0,426.22,5.23,12.12,197.06,0.005229,0.007738,0.2339,3.093
0,ours_bptt,2,0.1373,-0.1241,0.753711,2.948435,1,0,3.119,0.009986,0.12994,-0.11729,0.000000,0,501.75,3.74,5.85,242.23,0.003737,0.005068,0.0896,2.289
0,ours_bptt,3,0.5235,0.3075,0.774782,2.974229,1,0,3.672,0.009993,0.51479,0.30256,0.000000,0,342.51,8.12,11.68,153.49,0.008119,0.012174,0.4528,4.126
0,ours_bptt,4,0.3315,0.9345,0.861521,2.993594,1,0,3.675,0.009974,0.32757,0.92528,0.000000,0,143.70,26.49,31.51,20.47,0.026492,0.036312,1.3601,6.954
0,ours_bptt,5,0.3231,-0.0585,0.758382,2.959751,1,0,3.301,0.010000,0.31322,-0.05669,0.000000,0,435.59,1.71,4.59,211.93,0.001707,0.002493,0.1275,2.070
0,ours_bptt,6,-0.0850,0.5502,0.874156,2.978816,1,0,3.612,0.009985,-0.08446,0.54019,0.000000,0,399.07,19.51,20.06,164.84,0.019507,0.029977,0.6252,4.777
0,ours_bptt,7,-0.0720,-0.5823,0.875241,2.989513,1,0,3.616,0.009984,-0.07177,-0.57230,0.000000,0,382.74,19.96,21.41,154.99,0.019958,0.030622,0.6639,4.925
0,ours_bptt,8,0.3960,-0.5209,0.798478,2.982715,1,0,3.734,0.010000,0.38961,-0.51321,0.000000,0,334.98,13.65,13.87,143.39,0.013646,0.019508,0.5696,4.821
0,ours_bptt,9,0.3685,0.3828,0.779154,2.971864,1,0,3.690,0.009995,0.36137,0.37580,0.000000,0,404.00,9.99,13.49,181.01,0.009991,0.014492,0.3774,4.055
0,ours_bptt,10,0.1283,0.2512,0.770993,2.956847,1,0,3.494,0.009991,0.12359,0.24239,0.000000,0,534.45,6.84,16.54,245.55,0.006843,0.009188,0.1925,3.174
0,ours_bptt,11,0.2440,0.2446,0.763622,2.958522,1,0,3.514,0.009998,0.23683,0.23756,0.000000,0,495.38,6.60,16.24,226.50,0.006599,0.009392,0.1889,3.106
0,ours_bptt,12,0.6768,0.6211,0.810180,2.988567,1,0,3.725,0.009988,0.66922,0.61457,0.000000,0,161.71,16.62,17.43,50.95,0.016623,0.024366,1.0673,6.128
0,ours_bptt,13,0.7407,-0.0375,0.783046,2.981599,1,0,3.597,0.009995,0.73071,-0.03695,0.000000,0,204.49,1.03,1.68,99.79,0.001029,0.001562,0.6737,4.165
0,ours_bptt,14,0.1895,0.9012,0.870512,2.992625,1,0,3.663,0.009991,0.18676,0.89158,0.000000,0,190.55,26.20,31.67,43.96,0.026202,0.036219,1.2286,6.622
0,ours_bptt,15,0.3282,0.2784,0.766475,2.963933,1,0,3.598,0.009993,0.32047,0.27206,0.000000,0,452.39,7.39,14.48,206.17,0.007385,0.010760,0.2523,3.418
0,ours_bptt,16,0.4229,-0.6724,0.820854,2.989136,1,0,3.726,0.009991,0.41712,-0.66418,0.000000,0,252.38,18.02,18.35,94.32,0.018017,0.025366,0.8399,5.669
0,ours_bptt,17,-0.0535,-0.6259,0.875539,2.990744,1,0,3.626,0.009988,-0.05362,-0.61587,0.000000,0,360.16,20.66,22.80,141.79,0.020659,0.031455,0.7198,5.124
0,ours_bptt,18,0.5135,-0.1699,0.771153,2.973060,1,0,3.556,0.009994,0.50405,-0.16674,0.000000,0,354.98,4.65,9.24,164.77,0.004646,0.006972,0.3535,3.467
0,ours_bptt,19,-0.1027,-0.2139,0.843626,2.968687,1,0,3.445,0.009994,-0.09942,-0.20445,0.000000,0,532.56,13.52,0.48,255.66,0.013520,0.018092,0.3704,3.668
0,ours_bptt,20,0.5724,0.0126,0.772358,2.974524,1,0,3.535,0.009985,0.56246,0.01234,0.000000,0,305.73,0.35,0.70,151.91,0.000347,0.000524,0.3927,3.150
0,ours_bptt,21,-0.2534,-0.7892,0.916535,2.993729,1,0,3.613,0.009986,-0.25152,-0.77943,0.000000,0,258.67,36.54,30.87,71.06,0.036535,0.055079,1.2460,6.214
0,ours_bptt,22,0.1756,0.0811,0.753186,2.947710,1,0,3.034,0.009992,0.16662,0.07677,0.000000,0,469.27,2.54,1.31,231.42,0.002539,0.003523,0.0604,1.827
0,ours_bptt,23,-0.1826,-0.5070,0.895091,2.987113,1,0,3.574,0.009996,-0.18033,-0.49723,0.000000,0,412.51,25.43,19.97,167.22,0.025428,0.037030,0.6659,4.727
0,ours_bptt,24,0.5281,0.1638,0.769945,2.972183,1,0,3.573,0.009996,0.51856,0.16083,0.000000,0,348.36,4.46,8.51,162.33,0.004455,0.006710,0.3676,3.497
0,ours_bptt,25,0.2533,-0.1131,0.755527,2.955307,1,0,3.265,0.009999,0.24422,-0.10893,0.000000,0,473.97,3.31,9.04,225.47,0.003306,0.004746,0.1035,2.226
0,ours_bptt,26,-0.0698,0.1000,0.808039,2.949930,1,0,3.223,0.009990,-0.06508,0.09113,0.000000,0,606.91,9.02,24.12,272.57,0.009025,0.011146,0.4129,3.790
0,ours_bptt,27,0.3040,0.0277,0.756651,2.957303,1,0,3.254,0.009997,0.29405,0.02672,0.000000,0,435.74,0.82,2.11,215.14,0.000818,0.001189,0.1085,1.786
0,ours_bptt,28,0.2958,-0.8584,0.856666,2.994087,1,0,3.676,0.009990,0.29197,-0.84917,0.000000,0,193.72,24.23,28.90,49.78,0.024233,0.033216,1.1541,6.484
0,ours_bptt,29,0.3034,0.1431,0.757799,2.957491,1,0,3.385,0.010000,0.29443,0.13879,0.000000,0,463.62,4.04,11.23,217.54,0.004044,0.005894,0.1455,2.556
0,ours_bptt,30,-0.0517,-0.6699,0.879432,2.991847,1,0,3.629,0.009992,-0.05194,-0.65994,0.000000,0,336.39,21.99,24.67,127.04,0.021985,0.033443,0.7956,5.349
0,ours_bptt,31,0.5492,0.3284,0.777753,2.976079,1,0,3.683,0.010000,0.54052,0.32339,0.000000,0,323.34,8.67,11.82,143.35,0.008669,0.013001,0.5032,4.318
0,ours_bptt,32,-0.2470,-0.5392,0.910102,2.988058,1,0,3.573,0.009979,-0.24402,-0.52969,0.000000,0,389.54,32.13,22.06,148.61,0.032132,0.045277,0.7894,4.984
0,ours_bptt,33,0.0352,0.9500,0.887551,2.992608,1,0,3.660,0.009996,0.03392,0.94006,0.000000,0,175.37,29.23,32.49,33.27,0.029234,0.042578,1.3726,6.843
0,ours_bptt,34,0.0707,-0.1224,0.758236,2.946998,1,0,3.052,0.009988,0.06573,-0.11374,0.000000,0,510.77,3.76,2.27,250.29,0.003761,0.004764,0.1349,2.553
0,ours_bptt,35,0.4590,0.2294,0.766979,2.968760,1,0,3.602,0.009994,0.45000,0.22501,0.000000,0,389.28,6.14,11.36,178.67,0.006142,0.009193,0.3224,3.523
0,ours_bptt,36,-0.1107,0.4644,0.873670,2.973227,1,0,3.581,0.009989,-0.10938,0.45448,0.000000,0,440.04,18.59,17.36,188.72,0.018587,0.028304,0.5383,4.427
0,ours_bptt,37,0.1172,0.8775,0.875029,2.991866,1,0,3.660,0.009984,0.11508,0.86769,0.000000,0,212.92,26.01,30.85,56.11,0.026007,0.036552,1.1697,6.448
0,ours_bptt,38,-0.1887,-0.6828,0.903146,2.992199,1,0,3.609,0.009998,-0.18712,-0.67290,0.000000,0,321.19,28.98,26.37,112.49,0.028981,0.044533,0.9457,5.564
0,ours_bptt,39,0.8660,-0.0873,0.790823,2.985454,1,0,3.621,0.009985,0.85607,-0.08629,0.000000,0,125.46,2.40,3.53,57.40,0.002401,0.003647,0.9424,4.997
0,ours_bptt,40,0.3463,-0.5640,0.808433,2.984912,1,0,3.726,0.009992,0.34068,-0.55574,0.000000,0,332.99,14.93,15.26,140.03,0.014927,0.020978,0.6004,4.952
0,ours_bptt,41,0.1016,-0.3385,0.791323,2.970716,1,0,3.614,0.009989,0.09824,-0.32911,0.000000,0,507.38,9.26,13.43,233.32,0.009262,0.012434,0.2763,3.638
0,ours_bptt,42,-0.2362,-0.3342,0.900510,2.979475,1,0,3.530,0.009985,-0.23164,-0.32534,0.000000,0,474.19,28.73,8.81,206.74,0.028726,0.038028,0.5708,4.287
0,ours_bptt,43,0.8826,0.0070,0.791420,2.985747,1,0,3.618,0.009983,0.87259,0.00695,0.000000,0,106.54,0.19,0.29,52.84,0.000194,0.000294,0.9708,4.915
0,ours_bptt,44,0.1563,-0.4355,0.803676,2.978439,1,0,3.673,0.009983,0.15237,-0.42633,0.000000,0,450.41,11.74,13.89,202.52,0.011740,0.015985,0.3706,4.097
0,ours_bptt,45,0.0602,0.2535,0.783820,2.957374,1,0,3.493,0.009988,0.05747,0.24394,0.000000,0,544.32,7.23,14.23,252.51,0.007229,0.009516,0.2226,3.312
0,ours_bptt,46,0.3509,-0.8008,0.845128,2.992823,1,0,3.690,0.009979,0.34639,-0.79194,0.000000,0,210.37,22.20,25.64,62.90,0.022198,0.030572,1.0509,6.240
0,ours_bptt,47,-0.1504,-0.4231,0.882429,2.983405,1,0,3.555,0.009994,-0.14814,-0.41338,0.000000,0,454.83,21.11,15.81,195.77,0.021114,0.030554,0.5366,4.331
0,ours_bptt,48,0.3656,-0.0779,0.761192,2.963221,1,0,3.372,0.009998,0.35586,-0.07580,0.000000,0,422.15,2.23,5.93,203.47,0.002231,0.003286,0.1663,2.371
0,ours_bptt,49,-0.2992,-0.4212,0.916870,2.983455,1,0,3.554,0.009998,-0.29462,-0.41227,0.000000,0,429.83,36.22,14.91,172.83,0.036224,0.048393,0.7288,4.612
0,ours_bptt,50,0.7379,0.3254,0.787691,2.983123,1,0,3.684,0.009994,0.72867,0.32144,0.000000,0,207.11,8.71,11.08,85.94,0.008713,0.013181,0.7996,5.093
0,ours_bptt,51,0.2430,0.2287,0.761678,2.957279,1,0,3.489,0.009987,0.23567,0.22194,0.000000,0,497.51,6.21,16.08,228.02,0.006212,0.008856,0.1759,3.009
0,ours_bptt,52,-0.0147,-0.5282,0.856270,2.987050,1,0,3.626,0.009996,-0.01532,-0.51826,0.000000,0,413.19,16.63,18.32,175.80,0.016630,0.024619,0.5462,4.613
0,ours_bptt,53,0.0787,0.1072,0.755914,2.943116,1,0,2.964,0.009987,0.07282,0.09910,0.000000,0,511.76,3.38,8.55,244.79,0.003382,0.004316,0.1128,2.368
0,ours_bptt,54,-0.1562,0.9648,0.906433,2.991495,1,0,3.655,0.009988,-0.15582,0.95482,0.000000,0,162.47,34.48,31.96,23.42,0.034479,0.053945,1.5488,7.022
0,ours_bptt,55,-0.1446,-0.2073,0.861317,2.969775,1,0,3.460,0.009985,-0.14003,-0.19841,0.000000,0,535.82,17.81,2.56,252.00,0.017811,0.023051,0.4198,3.989
0,ours_bptt,56,0.7844,0.3256,0.790337,2.984554,1,0,3.682,0.009988,0.77513,0.32184,0.000000,0,176.86,8.75,11.03,70.83,0.008753,0.013252,0.8904,5.311
0,ours_bptt,57,0.2535,-0.6401,0.830157,2.988830,1,0,3.698,0.009994,0.24922,-0.63103,0.000000,0,321.11,17.49,19.30,128.14,0.017488,0.024029,0.6853,5.232
0,ours_bptt,58,0.3038,-0.4120,0.784945,2.975288,1,0,3.697,0.009983,0.29756,-0.40419,0.000000,0,419.65,10.75,13.50,188.27,0.010748,0.015259,0.3724,4.091
0,ours_bptt,59,0.7189,-0.3583,0.789477,2.983970,1,0,3.686,0.009988,0.70991,-0.35396,0.000000,0,213.13,9.59,12.13,87.24,0.009592,0.014458,0.7957,5.143
0,ours_bptt,60,0.1800,0.0264,0.752089,2.947505,1,0,2.932,0.009998,0.17011,0.02487,0.000000,0,454.77,0.86,1.16,225.58,0.000858,0.001190,0.0397,1.230
0,ours_bptt,61,-0.4251,0.6545,0.935423,2.976970,1,0,3.599,0.009988,-0.42096,0.64540,0.000000,0,302.20,51.57,25.88,86.54,0.051572,0.070356,1.2685,5.893
0,ours_bptt,62,0.5324,0.0722,0.769636,2.972199,1,0,3.526,0.009989,0.52253,0.07083,0.000000,0,337.44,2.00,4.15,163.07,0.001995,0.003003,0.3445,3.139
0,ours_bptt,63,-0.1463,-0.2830,0.870062,2.975189,1,0,3.499,0.009990,-0.14281,-0.27361,0.000000,0,508.07,18.77,5.97,233.99,0.018771,0.025310,0.4308,3.883
0,ours_bptt,64,0.5285,0.0914,0.769346,2.971929,1,0,3.532,0.009992,0.51862,0.08968,0.000000,0,342.18,2.52,5.20,164.00,0.002520,0.003793,0.3434,3.194
0,ours_bptt,65,0.2105,0.2530,0.765543,2.958062,1,0,3.515,0.009996,0.20405,0.24544,0.000000,0,507.64,6.82,16.72,231.99,0.006817,0.009555,0.1892,3.140
0,ours_bptt,66,-0.2321,0.7541,0.910398,2.985098,1,0,3.622,0.009979,-0.23036,0.74428,0.000000,0,278.57,33.86,28.06,85.83,0.033862,0.051376,1.1373,5.985
0,ours_bptt,67,0.1052,0.6538,0.852349,2.985804,1,0,3.660,0.009990,0.10289,0.64412,0.000000,0,340.49,18.94,22.63,133.41,0.018937,0.026348,0.6997,5.218
0,ours_bptt,68,0.5076,0.3617,0.778970,2.975654,1,0,3.695,0.009987,0.49940,0.35606,0.000000,0,339.51,9.50,12.44,150.19,0.009499,0.014142,0.4839,4.329
0,ours_bptt,69,-0.0513,0.1705,0.807639,2.952766,1,0,3.366,0.009997,-0.04933,0.16068,0.000000,0,550.57,7.95,1.72,267.61,0.007947,0.011171,0.3226,3.452
0,ours_bptt,70,-0.0982,0.3380,0.854279,2.965423,1,0,3.547,0.009995,-0.09642,0.32820,0.000000,0,496.67,14.85,9.74,227.45,0.014851,0.021931,0.4078,3.928
0,ours_bptt,71,-0.2987,-0.5024,0.918781,2.986400,1,0,3.565,0.009995,-0.29483,-0.49316,0.000000,0,397.46,36.97,20.23,150.78,0.036971,0.050424,0.8166,4.931
0,ours_bptt,72,-0.1503,0.3616,0.877012,2.967134,1,0,3.537,0.009997,-0.14756,0.35201,0.000000,0,480.28,20.16,11.71,213.31,0.020162,0.028248,0.4808,4.102
0,ours_bptt,73,-0.1360,0.7558,0.895278,2.986784,1,0,3.640,0.009986,-0.13542,0.74580,0.000000,0,283.50,27.57,26.13,94.94,0.027573,0.042991,1.0286,5.860
0,ours_bptt,74,0.2863,-0.1810,0.759469,2.960034,1,0,3.427,0.009996,0.27787,-0.17560,0.000000,0,476.14,5.03,13.82,220.47,0.005034,0.007293,0.1585,2.767
0,ours_bptt,75,0.2629,0.0381,0.754614,2.953835,1,0,3.179,0.009994,0.25301,0.03663,0.000000,0,449.30,1.15,2.58,221.21,0.001150,0.001654,0.0829,1.669
0,ours_bptt,76,-0.0879,0.1908,0.830895,2.956252,1,0,3.422,0.009992,-0.08478,0.18128,0.000000,0,546.82,11.73,2.22,262.40,0.011729,0.015646,0.3612,3.597
0,ours_bptt,77,0.1878,-0.1637,0.755637,2.953155,1,0,3.309,0.009991,0.18032,-0.15705,0.000000,0,512.48,4.66,13.74,239.00,0.004664,0.006520,0.1172,2.555
0,ours_bptt,78,0.3960,0.0616,0.761630,2.963898,1,0,3.405,0.009993,0.38613,0.06004,0.000000,0,406.83,1.75,4.50,197.60,0.001749,0.002592,0.1895,2.417
0,ours_bptt,79,0.1499,0.3328,0.782863,2.964617,1,0,3.616,0.009989,0.14543,0.32385,0.000000,0,501.85,8.89,14.58,229.68,0.008889,0.012058,0.2606,3.579
