delay_ms,scope,trigger_mode,controller,n,arrival_pct,n_diverged,failed_3x_pct,median_t_end_s,median_e_total_Cl1m,median_cross_track_rmse_m,median_peak_V,median_sup_dv,median_sup_dw,wall_s
0,pose,oracle,ours_bptt,300,100.00,0,26.00,3.6070,395.649,0.016789,4.2460,0.27915,3.49216,8.4
0,pose,oracle,ours_dr,300,100.00,0,37.67,4.6605,576.734,0.013197,3.8660,0.22719,3.43926,11.3
0,pose,oracle,pnn_bf,300,100.00,0,21.67,3.1075,316.617,0.017703,4.3791,0.28356,2.61570,8.2
0,pose,oracle,lyap1,300,100.00,0,24.33,3.6790,434.153,0.019207,3.7654,0.24210,2.13838,7.4
0,pose,oracle,lyap2,300,100.00,0,68.00,6.8725,908.306,0.009147,3.2055,0.16255,2.85488,19.5
0,pose,oracle,pid_table3,300,100.00,0,70.67,5.8905,1129.671,0.054597,3.0960,0.26841,1.05674,20.6
0,pose,measured,ours_bptt,300,100.00,0,26.00,3.6070,395.649,0.016789,4.2460,0.27915,3.49216,6.9
0,pose,measured,ours_dr,300,100.00,0,37.67,4.6605,576.734,0.013197,3.8660,0.22719,3.43926,10.9
0,pose,measured,pnn_bf,300,100.00,0,21.67,3.1075,316.617,0.017703,4.3791,0.28356,2.61570,6.3
0,pose,measured,lyap1,300,100.00,0,24.33,3.6790,434.153,0.019207,3.7654,0.24210,2.13838,9.8
0,pose,measured,lyap2,300,100.00,0,68.00,6.8725,908.306,0.009147,3.2055,0.16255,2.85488,16.2
0,pose,measured,pid_table3,300,100.00,0,70.67,5.8905,1129.671,0.054597,3.0960,0.26841,1.05674,26.3
0,wheels,oracle,ours_bptt,300,100.00,0,26.00,3.6070,395.649,0.016789,4.2460,0.27915,3.49216,7.1
0,wheels,oracle,ours_dr,300,100.00,0,37.67,4.6605,576.734,0.013197,3.8660,0.22719,3.43926,10.3
0,wheels,oracle,pnn_bf,300,100.00,0,21.67,3.1075,316.617,0.017703,4.3791,0.28356,2.61570,6.5
0,wheels,oracle,lyap1,300,100.00,0,24.33,3.6790,434.153,0.019207,3.7654,0.24210,2.13838,11.0
0,wheels,oracle,lyap2,300,100.00,0,68.00,6.8725,908.306,0.009147,3.2055,0.16255,2.85488,9.1
0,wheels,oracle,pid_table3,300,100.00,0,70.67,5.8905,1129.671,0.054597,3.0960,0.26841,1.05674,16.7
0,wheels,measured,ours_bptt,300,100.00,0,26.00,3.6070,395.649,0.016789,4.2460,0.27915,3.49216,5.5
0,wheels,measured,ours_dr,300,100.00,0,37.67,4.6605,576.734,0.013197,3.8660,0.22719,3.43926,9.5
0,wheels,measured,pnn_bf,300,100.00,0,21.67,3.1075,316.617,0.017703,4.3791,0.28356,2.61570,5.3
0,wheels,measured,lyap1,300,100.00,0,24.33,3.6790,434.153,0.019207,3.7654,0.24210,2.13838,5.8
0,wheels,measured,lyap2,300,100.00,0,68.00,6.8725,908.306,0.009147,3.2055,0.16255,2.85488,13.9
0,wheels,measured,pid_table3,300,100.00,0,70.67,5.8905,1129.671,0.054597,3.0960,0.26841,1.05674,12.5
0,all,oracle,ours_bptt,300,100.00,0,26.00,3.6070,395.649,0.016789,4.2460,0.27915,3.49216,4.0
0,all,oracle,ours_dr,300,100.00,0,37.67,4.6605,576.734,0.013197,3.8660,0.22719,3.43926,5.7
0,all,oracle,pnn_bf,300,100.00,0,21.67,3.1075,316.617,0.017703,4.3791,0.28356,2.61570,6.4
0,all,oracle,lyap1,300,100.00,0,24.33,3.6790,434.153,0.019207,3.7654,0.24210,2.13838,4.8
0,all,oracle,lyap2,300,100.00,0,68.00,6.8725,908.306,0.009147,3.2055,0.16255,2.85488,9.2
0,all,oracle,pid_table3,300,100.00,0,70.67,5.8905,1129.671,0.054597,3.0960,0.26841,1.05674,15.3
0,all,measured,ours_bptt,300,100.00,0,26.00,3.6070,395.649,0.016789,4.2460,0.27915,3.49216,5.0
0,all,measured,ours_dr,300,100.00,0,37.67,4.6605,576.734,0.013197,3.8660,0.22719,3.43926,9.5
0,all,measured,pnn_bf,300,100.00,0,21.67,3.1075,316.617,0.017703,4.3791,0.28356,2.61570,6.3
0,all,measured,lyap1,300,100.00,0,24.33,3.6790,434.153,0.019207,3.7654,0.24210,2.13838,6.3
0,all,measured,lyap2,300,100.00,0,68.00,6.8725,908.306,0.009147,3.2055,0.16255,2.85488,14.2
0,all,measured,pid_table3,300,100.00,0,70.67,5.8905,1129.671,0.054597,3.0960,0.26841,1.05674,24.7
10,pose,oracle,ours_bptt,300,100.00,0,24.33,3.5990,409.375,0.017467,4.2656,0.27915,3.49216,8.4
10,pose,oracle,ours_dr,300,100.00,0,37.33,4.6090,576.924,0.013695,3.9086,0.22810,3.43926,11.2
10,pose,oracle,pnn_bf,300,100.00,0,21.00,3.1000,329.285,0.018067,4.4004,0.28356,2.61570,9.7
10,pose,oracle,lyap1,300,100.00,0,24.33,3.6325,439.490,0.019377,3.7690,0.24292,2.13838,10.0
